diagnosis_id	attribute_id	is_required
426429380/unspecified	639052684	False
426429380/other	639052684	False
30659757/unspecified	639052684	False
30659757/other	639052684	False
1688127370	2082570273	False
609223181	639052684	False
62637936	437215757	False
634116368	437215757	False
1585949804/unspecified	437215757	False
1585949804/other	437215757	False
2108355318	437215757	False
1483190070	437215757	False
1904876434/unspecified	437215757	False
1904876434/other	437215757	False
971176543	437215757	False
2144774073	437215757	False
1622653958	437215757	False
874478433	437215757	False
522973276	437215757	False
1136802325/unspecified	437215757	False
1136802325/other	437215757	False
1839818377	437215757	False
705971711	437215757	False
1331660907	437215757	False
1539889147/unspecified	437215757	False
1539889147/other	437215757	False
1935092859/unspecified	437215757	False
1154736543	437215757	False
730510331	437215757	False
255141529/other	437215757	False
753780243	437215757	False
255141529/unspecified	437215757	False
283428170	437215757	False
1020283662	437215757	False
805990521	1726150948	False
114886962	437215757	False
419706488	437215757	False
2129350166	2082570273	False
1802307036	437215757	False
1303003466	2082570273	False
520429137	437215757	False
1939815950/unspecified	437215757	False
1939815950/other	437215757	False
921595235/other	437215757	False
921595235/unspecified	437215757	False
1358604969	437215757	False
1104303944/unspecified	437215757	False
588527933	437215757	False
1104303944/other	437215757	False
956664712	437215757	False
1390433308	437215757	False
744293382	437215757	False
1426032265	1726150948	False
1919233290	1726150948	False
1038292737/unspecified	2082570273	False
60908067	1726150948	False
1832877760	1726150948	False
323148092	1726150948	False
1358754380	1726150948	False
1510618119	1301318821	False
1528863768	1301318821	False
1062906118	1301318821	False
8864887	1301318821	False
879154182/unspecified	1301318821	False
2058491071	437215757	False
1264360394	1301318821	False
224336967/other	1726150948	False
224336967/unspecified	1726150948	False
757747508	2082570273	False
341681029	437215757	False
512128824	437215757	False
512128824	2082570273	False
761947693	1301318821	False
498053587	2082570273	False
1754821737	2082570273	False
2136808878	2082570273	False
437702716	2082570273	False
1458683894/other	2082570273	False
1992125824	2082570273	False
1363514322	2082570273	False
1594578199	2082570273	False
1458683894/unspecified	2082570273	False
1018829714	2082570273	False
1164983645/unspecified	2082570273	False
1164983645/other	2082570273	False
1025888387/other	2082570273	False
1025888387/unspecified	2082570273	False
1367461357	437215757	False
1480951888	437215757	False
259204343	437215757	False
149313794	437215757	False
2092703582/unspecified	437215757	False
2092703582/other	437215757	False
257068234	437215757	False
1688127370/unspecified	2082570273	False
416025325	437215757	False
2080365623	437215757	False
794462570	437215757	False
1160271562	2082570273	False
344162786	437215757	False
1834648119/other	437215757	False
250688797	69890123	False
515117475	437215757	False
1780040028	437215757	False
135352227/unspecified	437215757	False
135352227/other	437215757	False
30738976/other	437215757	False
509821856	437215757	False
1528782604	437215757	False
260431605	437215757	False
2087406945	437215757	False
1791890273	437215757	False
259406411	437215757	False
1836987572	437215757	False
421560565	437215757	False
2066255370	437215757	False
1838010380	437215757	False
1582386590/other	2082570273	False
1656445230	1726150948	False
1656445230	2082570273	False
1582386590/unspecified	2082570273	False
1310075986	437215757	False
895890688	437215757	False
142052508	639052684	False
727572936	437215757	False
1103848959	437215757	False
915779102/unspecified	437215757	False
915779102/other	437215757	False
841348715	2082570273	False
1147349670	437215757	False
1709907983	639052684	False
1843843106	639052684	False
239985204	639052684	False
609223181/unspecified	639052684	False
609223181/other	639052684	False
1741519874	437215757	False
2046208198	437215757	False
1881255733	2082570273	False
1084515160	2082570273	False
1540965840	2082570273	False
320939116	2082570273	False
1393205731	2082570273	False
1398301359	2082570273	False
784669405	2082570273	False
2030064326	69890123	False
1798345467	69890123	False
1163063637	69890123	False
229442107	69890123	False
2038859230	69890123	False
474718032	69890123	False
1912806631	2082570273	False
760322910	437215757	False
760322910	2082570273	False
481852400	2082570273	False
469481605	2082570273	False
1057142191	2082570273	False
2125493521	2082570273	False
2057951941	2082570273	False
698285441	1726150948	False
1281373917	2082570273	False
1208059574	69890123	False
1712178777	2082570273	False
1268183934	2082570273	False
1106082935	437215757	False
1106082935	2082570273	False
696703416/other	2082570273	False
786251500	2082570273	False
2046015098	2082570273	False
1269730048	437215757	False
696703416/unspecified	2082570273	False
1656157931	437215757	False
328870019	437215757	False
62637936/unspecified	437215757	False
731112897	437215757	False
62637936/other	437215757	False
1388337190	437215757	False
390005245	437215757	False
1186420656	437215757	False
684930313	437215757	False
775356003	2082570273	False
634116368/other	437215757	False
35402215	437215757	False
2048186698	437215757	False
634116368/unspecified	437215757	False
1726978545	437215757	False
136645853	437215757	False
2017227771	437215757	False
1977691885	2082570273	False
1761012301	437215757	False
2108355318/other	437215757	False
825097588	437215757	False
443087096	437215757	False
2108355318/unspecified	437215757	False
923328437	437215757	False
613341872	437215757	False
629126866	437215757	False
1543721163	437215757	False
1128677700	437215757	False
1299705786	437215757	False
52701557	437215757	False
1483190070/other	437215757	False
1913657904	437215757	False
2102159918	437215757	False
1483190070/unspecified	437215757	False
486617244	437215757	False
1147230459	437215757	False
1987223744	437215757	False
158514824	437215757	False
144526718	437215757	False
1398484288	437215757	False
971176543/other	437215757	False
188082376	437215757	False
1324834502	437215757	False
845065622	437215757	False
2033345174	437215757	False
2033345174	2082570273	False
2134985313	437215757	False
1305464814	437215757	False
1651247891	437215757	False
436897781	437215757	False
2034126013	437215757	False
1173456397	437215757	False
207371595	437215757	False
679740024	437215757	False
1763176671	437215757	False
1851012020	437215757	False
498769952	437215757	False
452551499	437215757	False
322774774	437215757	False
2029088182	437215757	False
2144774073/unspecified	437215757	False
1531704614	437215757	False
971176543/unspecified	437215757	False
1765941539	437215757	False
1929235891	437215757	False
2142416607	437215757	False
1622653958/unspecified	437215757	False
2144774073/other	437215757	False
1453313104	437215757	False
1622653958/other	437215757	False
25824900	437215757	False
2087019714	437215757	False
856497185	437215757	False
1356011211	437215757	False
270373865	437215757	False
270802913	437215757	False
147338301	437215757	False
233520745	437215757	False
510487101	437215757	False
874478433/unspecified	437215757	False
51885381	437215757	False
326802563	437215757	False
260831062	437215757	False
1094028194	437215757	False
2066130857	437215757	False
1783631508	437215757	False
21232429	437215757	False
1485671112	437215757	False
1837365673	437215757	False
522973276/other	437215757	False
522973276/unspecified	437215757	False
1790982852	437215757	False
1043501101	437215757	False
882647079	437215757	False
1798822437	437215757	False
1723965278	437215757	False
1642291965	437215757	False
625446129	437215757	False
1939927388	437215757	False
284578658	437215757	False
284578658	2082570273	False
1839818377/unspecified	437215757	False
1927471636	437215757	False
1681155693	437215757	False
874478433/other	437215757	False
1839818377/other	437215757	False
276960425	437215757	False
240293267	437215757	False
1696453174	437215757	False
879178398	437215757	False
2018414894	437215757	False
1599515520	437215757	False
422488408	437215757	False
991455762	437215757	False
1060335896	437215757	False
118763014	437215757	False
1579569385	437215757	False
785771645	437215757	False
1154736543/unspecified	437215757	False
51993663	437215757	False
1716687275	437215757	False
369649302	437215757	False
318751060	437215757	False
9118428	437215757	False
1337277167	437215757	False
1920574661	437215757	False
1883087780	437215757	False
1517862018	437215757	False
1154736543/other	437215757	False
2008288450	437215757	False
460427059	437215757	False
181768867	437215757	False
1644380974	437215757	False
1820640764	437215757	False
164563054	437215757	False
1892696356	437215757	False
454822496	437215757	False
362515638	437215757	False
1117777912	437215757	False
1955263959	437215757	False
236749187	437215757	False
1188232632	437215757	False
171563033	437215757	False
594985340	437215757	False
359035801	437215757	False
661628832	437215757	False
1453118191	1726150948	False
1281282034	1726150948	False
381388700	437215757	False
188684108	437215757	False
582624609	437215757	False
1635967154	2082570273	False
1059069619	437215757	False
588039752	69890123	False
107534985	69890123	False
1376522306	2082570273	False
875836206	1726150948	False
805990521/other	1726150948	False
381149513	1726150948	False
1199499236	1726150948	False
556056631	1726150948	False
805990521/unspecified	1726150948	False
296066191	1726150948	False
1220685756	1726150948	False
114886962/unspecified	437215757	False
223956768	437215757	False
1132542967	437215757	False
197163558	437215757	False
1336990680	69890123	False
788554020	437215757	False
1686035373	437215757	False
1126037561	437215757	False
425650575	437215757	False
832233624	2082570273	False
1313512266	437215757	False
1751062993	437215757	False
46201200	437215757	False
268154767	437215757	False
1789950491	437215757	False
419706488/other	437215757	False
114886962/other	437215757	False
419706488/unspecified	437215757	False
424434722	437215757	False
945827199	2082570273	False
1288535424	2082570273	False
1314810340	437215757	False
359247398	437215757	False
1380450203	437215757	False
1731433055	437215757	False
218093853	437215757	False
107393968	437215757	False
1993674550	437215757	False
350028235	437215757	False
1449494917	437215757	False
2003167397	437215757	False
406510021	437215757	False
1277769390	437215757	False
997943937	2082570273	False
1802307036/unspecified	437215757	False
1553838370	2082570273	False
970357944	2082570273	False
443666288	2082570273	False
214141817	2082570273	False
1802307036/other	437215757	False
1981682639	2082570273	False
1303003466/other	2082570273	False
1303003466/unspecified	2082570273	False
2037988685	437215757	False
473100505	437215757	False
438419889	437215757	False
2137656357	437215757	False
786506553	437215757	False
314876756	437215757	False
918687664	437215757	False
1882056565	437215757	False
517674628	437215757	False
1484750528	437215757	False
1475572870	437215757	False
2087698522	437215757	False
1358604969/other	437215757	False
1358604969/unspecified	437215757	False
1818527310	437215757	False
1786161849	437215757	False
1951642448	437215757	False
1727868245	437215757	False
182005728	437215757	False
354733156	437215757	False
1568955413	437215757	False
521067386	437215757	False
1965995711	437215757	False
2098055972	437215757	False
62316737	437215757	False
953127297	437215757	False
690556140	437215757	False
860933427	437215757	False
1066160874	437215757	False
256353705	437215757	False
1261684403	437215757	False
2015564442	437215757	False
1550359665	437215757	False
2012489901	437215757	False
336777648	437215757	False
269470990	437215757	False
827573730	437215757	False
1280088084	437215757	False
1859078769	437215757	False
296561750	437215757	False
1832116609	437215757	False
516524160	437215757	False
1014874899	437215757	False
431249345	437215757	False
2033456790	437215757	False
414337773	437215757	False
700495893	437215757	False
1777779617	437215757	False
2059407116	437215757	False
1774125283	437215757	False
353913609	437215757	False
1969351590	437215757	False
1018065824	437215757	False
1445358054	437215757	False
1226230164	437215757	False
1390433308/other	437215757	False
1229845027	437215757	False
17566186	437215757	False
385351156	437215757	False
1390433308/unspecified	437215757	False
680294872	437215757	False
73324466	437215757	False
1829846416	437215757	False
160886685	437215757	False
1119109040	437215757	False
1826873908	437215757	False
572726438	437215757	False
673956600	437215757	False
869136080	437215757	False
1921504316	437215757	False
774338239	437215757	False
475104996	437215757	False
678566494	437215757	False
744293382/other	437215757	False
744293382/unspecified	437215757	False
1655375736	1726150948	False
1429906313	1726150948	False
313022646	1726150948	False
1426032265/other	1726150948	False
1426032265/unspecified	1726150948	False
565740065	437215757	False
1413081426	437215757	False
2047072587	1726150948	False
329728491	1726150948	False
364669853	437215757	False
342760401	1726150948	False
521257551	1726150948	False
736393417	1726150948	False
1893759206	1726150948	False
794423031	1726150948	False
797284789	1726150948	False
121657546	437215757	False
1644926300	437215757	False
1777436789	1726150948	False
546689346/other	1726150948	False
831337417	1726150948	False
1468768235	1726150948	False
1710319105	1726150948	False
546689346/unspecified	1726150948	False
795022044	1726150948	False
1365258270	1726150948	False
1492142148/other	1451583031	False
286779656	1726150948	False
480150735	1726150948	False
133673893	1726150948	False
1153296343	1726150948	False
1381875066	1726150948	False
1517885800/other	1726150948	False
1517885800/unspecified	1726150948	False
110923694/other	1301318821	False
331838766	1301318821	False
110923694/unspecified	1301318821	False
1786015803	1301318821	False
962107653	1301318821	False
1147802348/unspecified	1301318821	False
2073226578	1301318821	False
1147802348/other	1301318821	False
1510618119/other	1301318821	False
1385484871	1301318821	False
1616050398	1301318821	False
2018018546	1301318821	False
474972159	1301318821	False
596808334	1301318821	False
331115338	1301318821	False
1425899262	1301318821	False
1002734100	1301318821	False
635542523	1301318821	False
1951762156	1301318821	False
1528863768/unspecified	1301318821	False
216388623	1301318821	False
1797297039	1301318821	False
460184638/unspecified	1301318821	False
424104055	1301318821	False
702525006	1301318821	False
1174774181/unspecified	1301318821	False
1738843761	1301318821	False
1430965006	1301318821	False
1235412948	1301318821	False
1611980611	1301318821	False
8864887/unspecified	1301318821	False
471986432/other	437215757	False
1587058820	1301318821	False
783045723	1301318821	False
8864887/other	1301318821	False
471986432/unspecified	437215757	False
868468606	437215757	False
1848981072	437215757	False
576319925	2082570273	False
622473950	437215757	False
469187351	437215757	False
1500376898	437215757	False
1446309782	639052684	False
1008234693	437215757	False
771681710	437215757	False
1660986367	437215757	False
350217189	437215757	False
1598291872	437215757	False
1365443534	437215757	False
1194158719	437215757	False
1313183227	1301318821	False
74366305	437215757	False
16712398	1301318821	False
505688542	437215757	False
722360431	1301318821	False
1498660177	437215757	False
1000136324	437215757	False
717041349	437215757	False
1578139194	437215757	False
562733645	437215757	False
1170766596	437215757	False
1219829820	437215757	False
995865520	437215757	False
1264360394/unspecified	1301318821	False
472994678	1301318821	False
589070366	1301318821	False
774508930	1301318821	False
929833904	1301318821	False
1295910447	1301318821	False
267833312	1301318821	False
808796664	1301318821	False
2058491071/other	437215757	False
1869616172	437215757	False
185143614	1301318821	False
521619255	437215757	False
368046549	1301318821	False
1264360394/other	1301318821	False
2058491071/unspecified	437215757	False
82568660	437215757	False
91655636	2082570273	False
764485623	2082570273	False
1467715547	1301318821	False
1979211198	1301318821	False
440437263	1301318821	False
2023965817	1301318821	False
1280712786	69890123	False
21844126	437215757	False
21844126	2082570273	False
1594217552/unspecified	1301318821	False
1219323740	437215757	False
1219323740	2082570273	False
1882391507	437215757	False
1882391507	2082570273	False
1049673197	437215757	False
1049673197	2082570273	False
1829545371/unspecified	2082570273	True
117254574	437215757	False
117254574	2082570273	False
1924438986	437215757	False
1924438986	2082570273	False
1656202881	437215757	False
1656202881	2082570273	False
1752013490	437215757	False
1752013490	2082570273	False
1594217552/other	1301318821	False
1723682291	437215757	False
1723682291	2082570273	False
485824369	437215757	False
485824369	2082570273	False
588341476	437215757	False
588341476	2082570273	False
1487619220	437215757	False
1487619220	2082570273	False
1188025300	437215757	False
1188025300	2082570273	False
1917449952	1301318821	False
1160249934	1301318821	False
1788452129	1301318821	False
543412184	1301318821	False
761947693/other	1301318821	False
1019543883	1301318821	False
1434352150	1301318821	False
761947693/unspecified	1301318821	False
644961579	1301318821	False
589559318	2082570273	False
1461918574	1301318821	False
486415207	2082570273	False
738218522	2082570273	False
1931148955	1726150948	False
2051676830	437215757	False
572130061	2082570273	False
1653508908	2082570273	False
58978844	2082570273	False
1314513153	2082570273	False
1435985435	2082570273	False
1703792511	2082570273	False
457135520	2082570273	False
1068960732	2082570273	False
2011334376	2082570273	False
1429671974	2082570273	False
1342390232	2082570273	False
437702716/unspecified	2082570273	False
1981559937	2082570273	False
442626161	1726150948	False
1143460098	437215757	False
1428007510	2082570273	False
209712163	2082570273	False
89002329	2082570273	False
102214623	2082570273	False
770887951	1726150948	False
770887951	2082570273	False
1273373410	2082570273	False
611886666	1726150948	False
775135189	437215757	False
894744637	2082570273	False
899562275	1726150948	False
899562275	2082570273	False
1869511838	2082570273	False
1093888988	1726150948	False
1093888988	2082570273	False
52659233	2082570273	False
259064684	1726150948	False
259064684	2082570273	False
2115139779	1726150948	False
926523318	2082570273	False
988653252	2082570273	False
409892007	2082570273	False
1085590500	1726150948	False
456152073	437215757	False
205989264	2082570273	False
637470326	1726150948	False
637470326	2082570273	False
2043723510	1726150948	False
2043723510	2082570273	False
226396094	2082570273	False
104786225	2082570273	False
1152694663	2082570273	False
2070500598	2082570273	False
1679681449	2082570273	False
1291482508	2082570273	False
1399922560	2082570273	False
2066756090	2082570273	False
223755232	2082570273	False
1456211027	2082570273	False
956813047	1726150948	False
1494827140	2082570273	False
1548485475	1726150948	False
1548485475	2082570273	False
1946454348	437215757	False
499832858	1726150948	False
685855644	1726150948	False
685855644	2082570273	False
1600081882	2082570273	False
507103735	2082570273	False
732261471	2082570273	False
654702340	437215757	False
654702340	2082570273	False
1223390562	2082570273	False
1018829714/unspecified	2082570273	False
840238105	2082570273	False
674582240	2082570273	False
1177212968	2082570273	False
1018829714/other	2082570273	False
1892669517	1726150948	False
1571995415	1726150948	False
1558386083	1726150948	False
1558386083	2082570273	False
478159863	1726150948	False
478159863	2082570273	False
1062361894	1726150948	False
1062361894	2082570273	False
349106170	1726150948	False
912798978	1726150948	False
912798978	2082570273	False
617135915	1726150948	False
1594247995	437215757	False
329423502	437215757	False
283909005	437215757	False
1009113450	437215757	False
1365831385	437215757	False
1019224570	437215757	False
260898866	437215757	False
1367461357/other	437215757	False
1367461357/unspecified	437215757	False
957478548	437215757	False
2065715407	437215757	False
983868827	437215757	False
1007459204	437215757	False
1480951888/unspecified	437215757	False
2141360941	69890123	False
510369115	437215757	False
768547929	437215757	False
727252860	437215757	False
1488350448	437215757	False
1433247301	2082570273	False
1230041477	437215757	False
1459455953/unspecified	437215757	False
1783829886	2082570273	False
1033306788	437215757	False
1033306788	2082570273	False
647731979	437215757	False
1239733052	437215757	False
1712053139	437215757	False
1576588986	437215757	False
41471865	437215757	False
1901700743	437215757	False
2114311813	437215757	False
1392795032	437215757	False
